ResultUnit,CharacteristicName
ug/l,Aluminum
ug/l,Antimony
ug/l,Arsenic
ug/l,Barium
ug/l,Beryllium
ug/L,Boron
ug/l,Cadmium
mg/l,Calcium
ug/l,Chromium
ug/l,Cobalt
ug/l,Copper
ug/l,Iron
ug/l,Lead
mg/l,Magnesium
ug/l,Manganese
ug/l,Molybdenum
ug/l,Nickel
mg/l,Potassium
ug/l,Selenium
mg/l,Silicon
ug/l,Silver
mg/L,Sodium
ug/l,Uranium
ug/l,Vanadium
ug/l,Zinc
