ResultUnit,CharacteristicName
mg/l,"Alkalinity, Phenolphthalein "
mg/l,"Alkalinity, total"
ft,"Depth, from ground surface to well water level"
mg/l,Dissolved oxygen (DO)
uS/cm,Electrical Conductivity (EC)
mV,Oxidation reduction potential (ORP)
None,pH
deg C,"Temperature, water"
mg/l,Total dissolved solids
mg/l,Total hardness
uS/cm,Specific conductance
