Temp_C,KHCO3,Kw,A,B
0,2.34423E-11,1.139E-15,0.4883,0.3241
5,2.81838E-11,1.846E-15,0.4921,0.3249
10,3.23594E-11,2.92E-15,0.496,0.3258
15,3.71535E-11,4.505E-15,0.5,0.3262
20,4.16869E-11,6.81E-15,0.5042,0.3273
25,4.67735E-11,1.01E-14,0.5085,0.3281
30,5.12861E-11,1.47E-14,0.513,0.329
