CharacteristicName,FMU,Charge
Calcium,40.08,2
Magnesium,24.305,2
Sodium,22.9897693,1
Potassium,39.0983,1
Chloride,35.45,1
Carbonate,60.01,2
Sulfate,96.07,2
Bicarbonate,61.02,1
"Alkalinity, total",166.8183333,2
